,periodo,norm_diff,norm_diff_prom,El Niño,La Niña
758,1992-03,-0.7821301849204082,-0.17901134921121767,0,0
759,1992-04,-0.5952054781191966,-0.17248758191204372,0,0
760,1992-05,-0.7939753171609136,-0.3866823399544139,-1,0
761,1992-06,-0.77447247083808,-0.5361981514582067,-1,0
762,1992-07,0.09499214944520838,-0.512597938921756,-1,0
763,1992-08,-0.0679477281408452,-0.48645650495570586,-1,0
764,1992-09,0.08174386443231212,-0.3424774967302524,0,0
765,1992-10,-1.225843853020005,-0.4475838925470539,-1,0
766,1992-11,0.5253879852278786,-0.2276900088155885,0,0
767,1992-12,0.296150045073833,-0.04925292283026966,0,0
768,1993-01,0.36051085490061774,-0.004999805254368106,0,0
769,1993-02,-0.04155804561118916,-0.0006015248327587638,0,0
770,1993-03,-0.20843571280063097,-0.04896478770491595,0,0
771,1993-04,-0.02352536030181323,0.15142162774811604,0,0
772,1993-05,0.6769724041606872,0.1766856975702508,0,0
773,1993-06,-0.39789187519704416,0.061012044191771274,0,0
774,1993-07,0.005309114732860334,0.0018117541638117043,0,0
775,1993-08,-0.45092102191711375,-0.0664154085538424,0,0
776,1993-09,0.10386013117988636,-0.014366101223756174,0,0
777,1993-10,-0.562376206097985,-0.10417457552311814,0,0
778,1993-11,0.5534394624375587,-0.12476339914363954,0,0
779,1993-12,-0.44291993832972815,-0.13226807633242021,0,0
780,1994-01,0.9043633507099936,0.017574296330435352,0,0
781,1994-02,0.5129893937199499,0.17822603226994596,0,0
782,1994-03,0.25087422623835237,0.20272838144635696,0,0
783,1994-04,-0.026847154334760374,0.29198322340689437,0,0
784,1994-05,0.12113055973393587,0.21993173962295723,0,0
785,1994-06,-0.11191189518215221,0.2750997468142199,0,0
786,1994-07,0.21264647839190276,0.15981360142787146,0,0
787,1994-08,0.03353022336262267,0.07990373970165024,0,0
788,1994-09,0.13345189868094065,0.060333351775414955,0,0
789,1994-10,0.434737697656524,0.13726416044062903,0,0
790,1994-11,0.25610601748849754,0.1597600700663893,0,0
791,1994-12,-0.8355007086435848,0.03916193448948387,0,0
792,1995-01,-0.7592475207563828,-0.12282039870189708,0,0
793,1995-02,-0.2378620876482184,-0.16805245053703724,0,0
794,1995-03,0.30344341081507237,-0.13972053184801533,0,0
795,1995-04,-0.18236938656372817,-0.24257171255139065,0,0
796,1995-05,-0.04101462620396667,-0.29209181983346805,0,0
797,1995-06,0.24758783050104913,-0.11157706330936239,0,0
798,1995-07,0.33937232424650365,0.0715262441911187,0,0
799,1995-08,1.1954186961442421,0.3104063748231955,0,0
800,1995-09,-0.1253785818717298,0.23893604270872845,0,0
801,1995-10,-0.11531731837655011,0.25011138740659145,0,0
802,1995-11,-0.26312848199186645,0.21309241144194147,0,0
803,1995-12,0.807737385736319,0.3064506706478198,0,0
804,1996-01,0.4265946892205717,0.32098773147683113,0,0
805,1996-02,0.2250868094700959,0.1592657503644734,0,0
806,1996-03,0.4881135632597311,0.2615144412197169,0,0
807,1996-04,-0.42067553215155307,0.21062140559054976,0,0
808,1996-05,0.05222060581756819,0.2631795868921222,0,0
809,1996-06,0.24762127348973162,0.16982690151769095,0,0
810,1996-07,0.7285919445672244,0.22015977740879975,0,0
811,1996-08,0.1727592047669515,0.21143850995827565,0,0
812,1996-09,-0.23251083836535152,0.09133444302076188,0,0
813,1996-10,0.42497238202818277,0.23227576205071787,0,0
814,1996-11,-0.24645871320498983,0.1824958755469582,0,0
815,1996-12,0.35359203295922725,0.20015766879187413,0,0
816,1997-01,1.1980240147804233,0.27839634716074063,0,0
817,1997-02,-0.5064542519010039,0.16519410438274804,0,0
818,1997-03,-0.4751154370413718,0.12476000460341131,0,0
819,1997-04,-0.30075156341698694,0.0038060136958830426,0,0
820,1997-05,-0.5847898814025457,-0.05258251433704294,0,0
821,1997-06,0.13429252684792592,-0.08913243202225983,0,0
822,1997-07,-0.24494486636820803,-0.3296272455470317,0,0
823,1997-08,-0.7544472870427924,-0.3709594180706632,-1,0
824,1997-09,-0.492738355681231,-0.3738965711773063,-1,0
825,1997-10,-0.6824379457471126,-0.43751096823232727,-1,0
826,1997-11,-0.5774790071836721,-0.43629248919584834,-1,0
827,1997-12,-1.09155266632458,-0.640600021391266,-1,0
828,1998-01,-0.7976170255472018,-0.7327120479210983,-1,0
829,1998-02,-0.36187088517198196,-0.6672826476092966,-1,0
830,1998-03,-0.010008462931163501,-0.5868276654842853,-1,0
831,1998-04,-0.43000752140035087,-0.5447559280931583,-1,0
832,1998-05,0.6833082336006783,-0.33462472129576665,0,0
833,1998-06,-0.2215531376752414,-0.1896247998542102,0,0
